q3,age,q4,q61,q9,q10,q11
1,56,5,9,8,1,-9
1,46,5,8,10,1,-9
1,25,5,9,10,1,1
1,19,5,8,6,1,4
1,35,5,10,10,1,3
1,80,5,4,10,1,4
1,20,5,6,6,2,5
1,24,5,10,8,1,4
1,56,5,4,7,1,2
1,49,5,7,7,1,-9
1,41,5,11,8,1,6
1,20,5,4,4,2,-9
1,56,5,6,6,1,2
1,52,5,8,10,1,-9
2,26,5,4,5,3,8
2,29,5,8,3,3,7
1,41,5,9,8,1,1
2,29,5,9,8,1,1
1,29,5,10,1,3,-9
1,28,5,9,7,1,-9
1,52,5,5,7,1,9
1,58,5,6,5,1,-9
1,22,5,4,2,1,5
1,21,10,8,7,1,1
2,65,5,5,6,1,1
1,23,5,8,7,1,3
2,32,5,10,7,2,1
2,21,5,8,9,1,-9
1,70,5,10,4,1,-9
2,22,5,8,9,2,5
2,40,5,10,7,1,3
2,30,5,5,6,1,-9
2,48,5,7,6,2,4
2,36,5,5,2,2,-9
2,32,5,10,5,1,-9
1,36,5,10,2,1,3
1,36,5,5,8,1,3
2,24,5,4,-9,3,-9
1,39,5,4,7,2,6
1,51,5,4,0,4,NA
1,33,5,9,8,1,3
1,80,5,9,8,1,-9
1,39,5,4,2,2,-9
2,24,5,9,6,1,-9
1,59,5,9,9,2,1
2,73,5,11,10,1,-9
2,40,5,5,7,1,2
1,38,5,10,6,2,-9
2,60,5,9,8,1,1
1,28,5,7,3,2,5
1,58,5,9,6,2,-9
1,34,5,10,6,1,3
2,47,5,9,3,1,2
1,42,5,7,8,1,2
1,45,5,8,7,2,-9
1,40,5,6,3,1,1
2,47,5,9,8,1,2
2,53,5,10,10,2,-9
1,51,5,6,3,2,4
1,62,5,8,8,1,-9
2,53,5,5,8,1,-9
1,70,5,5,7,1,4
2,48,5,10,1,2,5
1,35,5,9,7,1,-9
2,53,5,7,5,1,-9
2,23,5,8,10,1,3
2,66,5,9,6,1,-8
2,38,5,10,7,1,3
1,51,5,10,7,1,-8
1,69,5,10,1,2,-9
2,23,5,8,7,1,1
2,47,5,10,8,2,1
1,47,5,10,8,1,1
2,34,5,7,4,3,1
2,41,5,7,4,1,10
1,36,10,8,10,2,1
2,32,5,10,10,1,-9
1,25,5,7,8,1,1
1,43,5,9,10,1,1
1,50,5,11,10,1,6
1,27,5,6,5,2,-9
2,30,5,10,6,1,3
1,26,5,8,8,1,3
1,36,5,3,8,1,-9
1,39,5,9,3,1,1
1,32,5,7,8,1,3
2,71,5,9,10,1,2
2,43,5,9,9,1,4
1,28,5,5,7,1,-9
2,55,6,9,7,1,-9
2,33,5,10,6,1,-8
1,22,5,9,9,1,1
1,65,5,7,10,1,-9
2,42,5,9,8,1,1
1,62,5,6,10,2,-8
2,38,5,9,6,1,1
1,45,5,9,8,1,-9
1,35,5,10,6,2,-9
2,30,5,9,10,1,1
1,52,5,6,7,2,1
1,29,5,9,10,2,-9
1,30,5,3,0,4,NA
1,20,5,7,7,1,4
1,41,5,5,2,3,4
1,68,5,7,10,1,2
2,39,5,4,2,2,-9
1,40,5,7,5,1,-9
1,30,5,5,5,1,4
