cps19_gender,cps19_yob,cps19_province,cps19_education,cps19_interest_elxn_1,cps19_v_likely,cps19_votechoice
2,70,24,10,9,1,5
2,79,24,10,6,1,9
2,81,22,8,8,1,1
1,79,22,8,8,1,2
2,81,22,5,6,1,9
2,80,22,8,9,1,1
2,79,22,5,5,NA,NA
2,79,22,8,10,1,1
2,79,22,8,9,1,9
1,81,22,5,3,2,1
2,81,22,5,6,2,3
2,79,22,8,10,1,2
1,80,22,5,7,2,1
2,81,22,8,10,1,1
1,79,22,8,4,1,1
2,81,22,5,5,2,1
2,81,22,5,8,1,1
2,81,22,5,8,1,5
2,81,22,8,10,1,5
2,79,22,8,6,3,NA
2,81,22,5,8,1,3
1,81,22,5,8,1,2
1,76,22,8,9,1,1
2,80,22,8,7,1,1
2,81,22,5,10,1,9
2,81,22,8,8,NA,NA
2,81,22,5,10,1,1
2,78,22,4,4,NA,NA
1,80,22,5,7,1,1
2,81,22,5,10,1,9
1,81,22,8,9,2,1
2,81,22,4,NA,1,1
1,80,22,5,10,1,2
2,76,22,8,7,1,1
2,79,22,8,10,1,5
1,81,22,4,8,1,1
2,81,22,8,10,1,1
2,81,22,5,6,NA,NA
1,78,22,8,10,1,1
1,81,22,5,9,2,2
2,81,22,8,7,2,3
2,81,22,8,8,1,3
2,81,22,8,7,2,1
2,79,22,5,4,1,2
1,79,22,8,8,1,1
2,81,22,5,8,1,1
2,79,22,8,9,1,1
2,80,22,4,8,1,3
1,77,22,8,9,1,9
2,81,22,8,8,2,9
2,81,22,5,7,NA,NA
1,80,22,8,8,1,1
2,81,22,8,7,2,3
1,81,22,8,9,1,5
2,77,22,8,2,2,3
1,79,22,5,7,1,1
2,80,22,5,9,1,3
3,78,22,8,9,1,5
2,80,22,8,10,1,1
2,81,22,8,8,2,1
1,81,22,8,8,1,1
2,80,22,8,8,2,3
2,79,22,8,10,1,1
1,78,22,8,8,1,3
2,77,22,9,4,1,3
1,81,22,5,7,1,1
2,81,22,8,10,1,1
2,81,22,8,8,2,3
2,78,22,4,7,2,3
2,81,22,5,8,1,3
2,80,22,5,10,1,1
2,79,22,5,8,2,1
2,80,22,8,NA,1,2
2,80,22,9,6,NA,NA
1,78,22,8,9,1,9
2,78,22,9,8,1,1
2,81,22,8,9,1,2
1,77,22,5,2,1,3
1,78,22,8,9,1,7
2,50,22,6,5,1,9
2,37,24,7,4,2,1
2,28,22,9,9,1,9
2,72,22,10,3,2,3
1,41,15,9,10,1,2
2,40,22,6,NA,1,1
1,37,22,11,10,1,3
2,71,22,9,10,1,1
2,43,22,6,10,1,5
1,35,14,9,8,1,2
2,37,25,5,8,1,2
1,56,24,8,9,1,2
1,35,15,9,10,1,1
1,59,24,6,5,1,5
1,38,22,9,8,2,2
1,58,14,9,3,1,1
1,68,22,9,9,1,1
1,41,22,9,8,1,1
1,66,22,7,8,1,1
2,33,15,9,9,1,1
2,34,15,11,8,1,9
1,33,24,10,9,1,4
1,63,22,5,7,2,5
1,53,22,9,7,1,2
